Evento,Lugar,Fecha,Orden,Track,Tipo,Programa Evento,Autor,Título,Video,Palabras clave,Descripción,Recursos
Pycon 2021,Online,2021-11-06,10,A,Charla,https://pycon.cl/2021/#schedule,Ricardo Leonardo Vega Mora,Programación creativa: Por que los diseñadores deben aprender a programar (y porque Python puede ser un gran aliado!),https://www.youtube.com/watch?v=ISY0LiI6qiU,,,"• https://issuu.com/ricardov_net
• https://www.youtube.com/watch?v=eCG0M6T5sMU
• Drawbot  (Python) drawbot.com y/o Processing (Java) Processing.org"
Pycon 2021,Online,2021-11-06,11,A,Charla,https://pycon.cl/2021/#schedule,Raquel Pezoa Rivera,Clasificación desbalanceada con Python: modificando datos y algoritmos,https://www.youtube.com/watch?v=pB262BOPRfg,,,"• https://github.com/rpezoa/imbalanced-class
• https://drive.google.com/drive/folders/1Riowx9j8xutNaVJQTmtxkBn01xogSV5g?usp=sharing"
Pycon 2021,Online,2021-11-06,02,B,Charla,https://pycon.cl/2021/#schedule,Alison Orellana Rios,Reconocimiento de figuras con Visión Artificial,https://www.youtube.com/watch?v=rC5KCVC0CuU,,,https://github.com/AllyOR/OpenCV_Examples
Pycon 2021,Online,2021-11-06,03,B,Charla,https://pycon.cl/2021/#schedule,Rodrigo Tobar,"Usando Python en el SKA, el radio-observatorio más grande del mundo",https://www.youtube.com/watch?v=kJ2wt1iM0m8,,,"https://docs.google.com/presentation/d/1WALCPJeAb39SAKKZzjSra__DZJq8cn9nomBfeIkW1Cs/edit?usp=sharing

 • Página oficial del telescopio SKA 📡: https://www.skatelescope.org/
 • Código fuente desarrollado para el SKA 💻: https://gitlab.com/ska-telescope
 • Documentación para desarrolladores 📖: https://developer.skao.int/

 • Sitio web 🌐  : https://icrar.org/
 • GitHub: https://github.com/ICRAR

 • https://github.com/rtobar
 • https://gitlab.com/rtobar
 • https://developer.skao.int/en/latest/getting-started/contrib-guidelines.html"
Pycon 2021,Online,2021-11-06,04,B,Charla,https://pycon.cl/2021/#schedule,Emiliano Martin,Profiling & Optimization in Python,https://www.youtube.com/watch?v=kWqBfpFI9cA,,,"• https://medium.com/@mjspeck/presenting-code-using-jupyter-notebook-slides-a8a3c3b59d67
• https://github.com/emimartin26/profiling_optimization_pyconcl2021
• https://rise.readthedocs.io/en/stable/usage.html funciona con los jupyter notebooks"
Pycon 2021,Online,2021-11-06,05,B,Charla,https://pycon.cl/2021/#schedule,Federico Garza Ramírez,Nixtla: Deep Learning para pronóstico de series de tiempo,https://www.youtube.com/watch?v=OiBToijcHac,,,"• Nixtla, ecosistema de pronóstico de series de tiempo: https://github.com/Nixtla
• nixtlats, deep learning para pronóstico de series de tiempo: https://github.com/Nixtla/nixtlats
• Blog de replicación:       https://nixtla.github.io/blog/deep%20learning/forecasting/m4/2021/06/25/esrnn-i.html
• GitHub: https://github.com/FedericoGarza"
Pycon 2021,Online,2021-11-06,08,B,Charla,https://pycon.cl/2021/#schedule,Luis Falcon,"MyGNUHealth, la aplicación de gestión de salud personal de GNU Health",https://www.youtube.com/watch?v=A9Zo9Quhkqs,,,"• GNU Health : https://www.gnuhealth.org/
• GNU Solidario (ONG): https://www.gnusolidario.org/
• Conferencia anual - GNU Health Con - : https://www.gnuhealthcon.org/ "
Pycon 2021,Online,2021-11-06,09,B,Charla,https://pycon.cl/2021/#schedule,Rodrigo Tesone,¿Podemos hablar sin pelear? Una pequeña conversación entre la política y el análisis de datos,https://www.youtube.com/watch?v=R0ASPEDCgAc,,,https://docs.google.com/document/d/1ycPw1aAA3CZIkScVoC5SA-6Suk_xzw2XghsvL3JfcI8/edit?usp=drivesdk
Pycon 2021,Online,2021-11-06,10,B,Charla,https://pycon.cl/2021/#schedule,Gabriel Ortega Ibarra,Creando un servidor y un bot de Discord para la comunidad estudiantil de informática en la UTFSM,https://www.youtube.com/watch?v=eKllxm8yUYk,,,"• Portal Discord Developer: https://discord.com/developers/docs/intro 
• App Commands: https://canary.discord.com/developers/docs/interactions/application-commands 
• Hikari Docs: https://www.hikari-py.dev/hikari/ 
• Hikari-Lightbulb: https://hikari-lightbulb.readthedocs.io/en/latest/ "
Pycon 2021,Online,2021-11-06,11,B,Charla,https://pycon.cl/2021/#schedule,Patricio Cofre y Roberto Gonzalez,Cómo los observatorios están aprovechando la IA para mejorar su operación y trabajo científico,https://www.youtube.com/watch?v=TvDX38x14DA,,,"• https://news.microsoft.com/es-xl/eso-and-microsoft-will-work-with-artificial-intelligence-to-boost-astronomy/
• https://www.eso.org/public/announcements/annlocal20004-es-cl/
• https://www.youtube.com/watch?v=Pw7OsafylO0 
• https://drive.google.com/file/d/10lea-gn_Vms0dobfsN45gbHOfHg5HQAz/view?usp=sharing"
Pycon 2021,Online,2021-11-07,01,,Keynote,https://pycon.cl/2021/#schedule,Sebastián Ramírez,Modern Python through FastAPI and friends,https://www.youtube.com/watch?v=3IA6y2PBNEY,,,
Pycon 2021,Online,2021-11-07,02,A,Charla,https://pycon.cl/2021/#schedule,Héctor Vega,Buenas prácticas para dejar de ser junior en Python,https://www.youtube.com/watch?v=_-2erPEYbjk,,,Presentación: https://docs.google.com/presentation/d/1eVBthcjRd-rXsCTYfFDOl-qBnWiHEsDtHw4SGXbNsvk/edit#slide=id.p
Pycon 2021,Online,2021-11-07,03,A,Charla,https://pycon.cl/2021/#schedule,Aldo Escobar,Desarrollo de productos de datos automatizados utilizando un stack moderno de datos,https://www.youtube.com/watch?v=2NYcq7oBfFo,,,"• https://github.com/aoelvp94/Spotydash
• Presentación:  https://docs.google.com/presentation/d/1Z-ifinpJuH5b9_acZmZn19BWcmxNDohHJ89yQGBWd4g/edit 
• https://muttdata.ai/blog/ blog
• https://muttdata.ai/blog/2021/09/29/data-engineering-fundamentals.html
• https://muttdata.ai/blog/2021/06/09/muttlib-public-release.html
• https://muttdata.ai/blog/2021/09/15/soam-public-release.html"
Pycon 2021,Online,2021-11-07,04,A,Charla,https://pycon.cl/2021/#schedule,Eduardo Blancas,Desarrollo y despliegue de un proyecto de Machine Learning en 20 minutos con Ploomber,https://www.youtube.com/watch?v=IRUKK9Z4Y1k,,,https://blancas.io/talks/pycon-chile-21.pdf
Pycon 2021,Online,2021-11-07,05,A,Charla,https://pycon.cl/2021/#schedule,Maria Rene Torrez Vargas,Programa tu historia with Renpy,https://www.youtube.com/watch?v=uaFtqen4HLc,,,
Pycon 2021,Online,2021-11-07,06,,Keynote,https://pycon.cl/2021/#schedule,"Stefanni Cavaleto, Loreto Sanchez, Catalina Arrey, Daniela Espinoza y Pamela Bustamante",Mujeres en Tecnología: Chilenas que inspiran,https://www.youtube.com/watch?v=o-ZzEiwT7l0,,,
Pycon 2021,Online,2021-11-07,07,,Keynote,https://pycon.cl/2021/#schedule,Eugenia Bahit,Desarrollo de Aplicaciones Web con Python,https://www.youtube.com/watch?v=rRgn8d7mFXQ,,,
Pycon 2021,Online,2021-11-07,08,A,Charla,https://pycon.cl/2021/#schedule,Robert Rozas Navarro,Python-Flask en Azure Kubernetes Services,https://www.youtube.com/watch?v=3Y_haNh7M8I,,,https://github.com/AshWilliams/AwesomeClinic-Back
